Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2007-10-01,13205.404566671325,0.0,0.0,12214.529296875,0,0.0,0.0
2008-01-01,12130.386478237791,0.0,0.0,12540.3447265625,0,0.0,0.0
2008-04-01,12468.73725095771,0.0,0.0,12112.4853515625,0,0.0,0.0
2008-07-01,11854.697090921263,0.0,0.0,7725.603515625,0,0.0,0.0
2008-10-01,8211.643299803205,8360.229408001078,0.0,7268.2080078125,110530,0.0,0.0
2009-01-01,7178.698661081415,8109.60139881795,6399.961440667873,7903.728515625,263270,0.0,0.0
2009-04-01,7966.3876677605795,9371.69140625,7966.3876677605795,9371.69140625,172030,0.0,0.0
2009-07-01,9416.44487188981,9667.072682168246,8682.465174129353,8995.75,99570,0.0,0.0
2009-10-01,8816.729592483109,9846.094888848396,8145.405004222973,9210.57421875,203690,0.0,0.0
2010-01-01,9210.573779727289,10293.642735353307,8959.945921775527,10007.2109375,233170,0.0,0.0
2010-04-01,9980.360556896065,10186.233465244592,8252.815490343555,8646.6591796875,199100,0.0,0.0
2010-07-01,8655.612596577175,8834.632505503281,7975.336942657977,8261.7666015625,105270,0.0,0.0
2010-10-01,8279.670319733796,9523.856851896886,8199.111365271521,9201.62109375,74920,0.0,0.0
2011-01-01,9246.378680677815,9774.487433978871,7429.325135079625,8897.2900390625,301930,0.0,0.0
2011-04-01,9040.502431441326,9237.42677834084,8458.691234319982,8942.0439453125,153910,0.0,0.0
2011-07-01,8995.750087290502,9094.211033519552,7483.031462539376,8127.50634765625,339390,0.0,0.0
2011-10-01,8002.188967141544,8046.943938993566,7339.815383731618,7930.58447265625,281670,0.0,0.0
2012-01-01,7912.676331875637,9309.034090909092,7912.676331875637,8727.220703125,246210,0.0,0.0
2012-04-01,8682.463545045775,8745.120498463632,7518.83763419721,7912.67724609375,165360,0.0,0.0
2012-07-01,7885.82740357545,8324.42411695208,7679.952829760175,8082.74755859375,143780,0.0,0.0
2012-10-01,8064.846888950892,10284.693196325488,7796.31702583377,10078.8203125,190600,0.0,0.0
2013-01-01,10087.77059659091,12755.167441364723,10007.211647727274,12629.853515625,583680,0.0,0.0
2013-04-01,12629.855213480458,14536.417339966169,11323.008458857914,12486.638671875,721260,0.0,0.0
2013-07-01,12495.590346392464,13584.012205707995,11994.334573184742,13144.3984375,458730,60.0,0.0
2013-10-01,13215.42022705078,14995.456788874246,12864.807037353516,13727.8544921875,705650,0.0,0.0
