Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2010-07-01,3600.0,3630.0,2860.0,3530.0,1298696,0.0,0.0
2010-10-01,3545.0,3805.0,3495.0,3720.0,2069259,0.0,0.0
2011-01-01,3735.0,3865.0,3500.0,3865.0,2906989,0.0,0.0
2011-04-01,3880.0,4120.0,3855.0,3940.0,2748415,0.0,0.0
2011-07-01,3930.0,4770.0,3885.0,4010.0,6184394,0.0,0.0
2011-10-01,4065.0,4460.0,3865.0,3880.0,4058573,0.0,0.0
2012-01-01,3880.0,4595.0,3880.0,4335.0,4402098,0.0,0.0
2012-04-01,4405.0,4425.0,3900.0,3980.0,2719966,0.0,0.0
2012-07-01,4070.0,4465.0,3940.0,4395.0,2977204,0.0,0.0
2012-10-01,4380.0,4600.0,4305.0,4555.0,4096753,0.0,0.0
2013-01-01,4615.0,4980.0,4560.0,4820.0,5098005,0.0,0.0
2013-04-01,4810.0,5000.0,3720.0,3820.0,6911842,0.0,0.0
2013-07-01,3920.0,4460.0,3890.0,4155.0,4203947,0.0,0.0
2013-10-01,4145.0,4215.0,3945.0,4040.0,3706953,0.0,0.0
2014-01-01,4090.0,4460.0,4020.0,4230.0,3342750,0.0,0.0
2014-04-01,4200.0,4280.0,4020.0,4215.0,2732339,0.0,0.0
2014-07-01,4240.0,4295.0,4160.0,4210.0,2290367,0.0,0.0
2014-10-01,4195.0,4620.0,4135.0,4505.0,3042605,0.0,0.0
2015-01-01,4500.0,4865.0,4430.0,4480.0,2935177,0.0,0.0
2015-04-01,4495.0,4665.0,4435.0,4540.0,2755903,0.0,0.0
2015-07-01,4535.0,4555.0,4175.0,4250.0,3486398,0.0,0.0
2015-10-01,4215.0,4425.0,4050.0,4070.0,3171545,0.0,0.0
2016-01-01,4045.0,4545.0,4000.0,4340.0,4722457,0.0,0.0
2016-04-01,4355.0,4380.0,4130.0,4250.0,3589789,0.0,0.0
2016-07-01,4270.0,4415.0,4165.0,4210.0,3457456,0.0,0.0
2016-10-01,4200.0,4240.0,4085.0,4240.0,3340677,0.0,0.0
2017-01-01,4250.0,4430.0,4245.0,4320.0,2224815,0.0,0.0
2017-04-01,4345.0,4420.0,4310.0,4350.0,2624122,0.0,0.0
2017-07-01,4350.0,4555.0,4310.0,4515.0,2364350,0.0,0.0
2017-10-01,4490.0,4560.0,4415.0,4555.0,2223544,0.0,0.0
2018-01-01,4555.0,4640.0,4320.0,4355.0,2149949,0.0,0.0
2018-04-01,4380.0,4500.0,4290.0,4315.0,1313471,0.0,0.0
2018-07-01,4325.0,4370.0,4005.0,4180.0,2470343,0.0,0.0
2018-10-01,4210.0,4380.0,4160.0,4375.0,1783756,0.0,0.0
2019-01-01,4375.0,4610.0,4325.0,4430.0,1834297,0.0,0.0
2019-04-01,4460.0,4715.0,4340.0,4675.0,2085996,0.0,0.0
2019-07-01,4635.0,5110.0,4585.0,4965.0,3930944,0.0,0.0
2019-10-01,4910.0,5110.0,4885.0,5070.0,2519026,0.0,0.0
2020-01-01,5070.0,5900.0,4900.0,5400.0,8258219,0.0,0.0
2020-04-01,5200.0,6000.0,5200.0,5980.0,7808866,0.0,0.0
2020-07-01,6060.0,6750.0,5980.0,6140.0,11364228,0.0,0.0
2020-10-01,6140.0,6310.0,5650.0,6090.0,9181569,0.0,0.0
2021-01-01,6090.0,6290.0,5630.0,5770.0,10171552,0.0,0.0
2021-04-01,5850.0,6430.0,5820.0,5960.0,9534541,0.0,0.0
2021-07-01,6030.0,6180.0,5830.0,5940.0,5194887,0.0,0.0
2021-10-01,6000.0,6540.0,5970.0,6345.0,6816290,0.0,0.0
2022-01-01,6345.0,7349.0,6321.0,7172.0,7354287,0.0,0.0
2022-04-01,7205.0,7756.0,7120.0,7560.0,7421233,0.0,0.0
2022-07-01,7500.0,7562.0,7073.0,7350.0,5036151,0.0,0.0
2022-10-01,7349.0,7628.0,7261.0,7393.0,4623375,0.0,0.0
2023-01-01,7393.0,8058.0,7368.0,8045.0,4548234,0.0,0.0
2023-04-01,7966.0,8467.0,7950.0,8417.0,6283725,0.0,0.0
2023-07-01,8433.0,8712.0,8235.0,8488.0,5228052,0.0,0.0
2023-10-01,8414.0,9393.0,8240.0,8933.0,8399935,0.0,0.0
2024-01-01,8933.0,10825.0,8893.0,10660.0,7632569,0.0,0.0
2024-04-01,10505.0,12985.0,10485.0,11340.0,14453964,0.0,0.0
2024-07-01,11380.0,11915.0,10425.0,11405.0,9258481,0.0,0.0
2024-10-01,11460.0,12965.0,11460.0,12495.0,13373793,0.0,0.0
2025-01-01,12495.0,14280.0,12495.0,14260.0,15703184,0.0,0.0
2025-04-01,14345.0,14905.0,13030.0,14435.0,20456637,0.0,0.0
