Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2010-04-01,3600.0,3630.0,3275.0,3295.0,558327,0.0,0.0
2010-07-01,3315.0,3660.0,2860.0,3510.0,1130576,0.0,0.0
2010-10-01,3560.0,3805.0,3500.0,3535.0,2674038,0.0,0.0
2011-01-01,3540.0,4120.0,3520.0,4065.0,3226440,0.0,0.0
2011-04-01,4100.0,4100.0,3855.0,4060.0,2304413,0.0,0.0
2011-07-01,4050.0,4770.0,3885.0,4300.0,6753345,0.0,0.0
2011-10-01,4260.0,4460.0,3865.0,4195.0,3535669,0.0,0.0
2012-01-01,4210.0,4595.0,4175.0,4325.0,4119937,0.0,0.0
2012-04-01,4250.0,4255.0,3900.0,4055.0,2917032,0.0,0.0
2012-07-01,4030.0,4490.0,3960.0,4360.0,3277715,0.0,0.0
2012-10-01,4385.0,4840.0,4305.0,4835.0,4812824,0.0,0.0
2013-01-01,4830.0,5000.0,4140.0,4565.0,7016299,0.0,0.0
2013-04-01,4575.0,4675.0,3720.0,4140.0,4711707,0.0,0.0
2013-07-01,4125.0,4460.0,3930.0,4190.0,3964321,0.0,0.0
2013-10-01,4140.0,4155.0,3945.0,4045.0,3238019,0.0,0.0
2014-01-01,4035.0,4460.0,4020.0,4195.0,3240746,0.0,0.0
2014-04-01,4175.0,4295.0,4020.0,4200.0,2777123,0.0,0.0
2014-07-01,4175.0,4255.0,4135.0,4175.0,2262658,0.0,0.0
2014-10-01,4180.0,4865.0,4135.0,4685.0,3297349,0.0,0.0
2015-01-01,4730.0,4755.0,4430.0,4510.0,2838226,0.0,0.0
2015-04-01,4470.0,4665.0,4220.0,4240.0,3382597,0.0,0.0
2015-07-01,4275.0,4510.0,4175.0,4370.0,2686245,0.0,0.0
2015-10-01,4320.0,4325.0,4000.0,4235.0,3791781,0.0,0.0
2016-01-01,4275.0,4545.0,4190.0,4290.0,4216452,0.0,0.0
2016-04-01,4325.0,4415.0,4130.0,4335.0,4603688,0.0,0.0
2016-07-01,4335.0,4350.0,4090.0,4190.0,2739156,0.0,0.0
2016-10-01,4190.0,4330.0,4085.0,4275.0,2973386,0.0,0.0
2017-01-01,4280.0,4430.0,4280.0,4395.0,2521806,0.0,0.0
2017-04-01,4410.0,4420.0,4310.0,4365.0,2099337,0.0,0.0
2017-07-01,4365.0,4555.0,4340.0,4505.0,2428107,0.0,0.0
2017-10-01,4510.0,4640.0,4415.0,4550.0,2422381,0.0,0.0
2018-01-01,4570.0,4585.0,4320.0,4465.0,1647590,0.0,0.0
2018-04-01,4450.0,4485.0,4220.0,4235.0,1733491,0.0,0.0
2018-07-01,4260.0,4305.0,4005.0,4300.0,2420435,0.0,0.0
2018-10-01,4265.0,4470.0,4245.0,4465.0,1645765,0.0,0.0
2019-01-01,4470.0,4610.0,4405.0,4440.0,1683110,0.0,0.0
2019-04-01,4440.0,4795.0,4340.0,4795.0,2767705,0.0,0.0
2019-07-01,4740.0,5110.0,4730.0,5010.0,3697393,0.0,0.0
2019-10-01,5040.0,5350.0,4885.0,5300.0,3105569,0.0,0.0
2020-01-01,5320.0,5900.0,4900.0,5630.0,9687858,0.0,0.0
2020-04-01,5610.0,6660.0,5570.0,6440.0,8933027,0.0,0.0
2020-07-01,6560.0,6750.0,6010.0,6010.0,9721965,0.0,0.0
2020-10-01,6040.0,6290.0,5650.0,5980.0,9972942,0.0,0.0
2021-01-01,6030.0,6050.0,5630.0,5890.0,9379250,0.0,0.0
2021-04-01,5890.0,6430.0,5890.0,6120.0,8906392,0.0,0.0
2021-07-01,6080.0,6290.0,5830.0,6190.0,6147037,0.0,0.0
2021-10-01,6170.0,6540.0,6128.0,6326.0,5486243,0.0,0.0
2022-01-01,6349.0,7756.0,6331.0,7458.0,9242829,0.0,0.0
2022-04-01,7542.0,7735.0,7120.0,7169.0,6215950,0.0,0.0
2022-07-01,7185.0,7603.0,7073.0,7429.0,4390974,0.0,0.0
2022-10-01,7421.0,7701.0,7261.0,7606.0,4464786,0.0,0.0
2023-01-01,7645.0,8278.0,7464.0,8172.0,5684587,0.0,0.0
2023-04-01,8257.0,8505.0,8235.0,8436.0,5850574,0.0,0.0
2023-07-01,8498.0,9148.0,8240.0,9103.0,6475205,0.0,0.0
2023-10-01,9125.0,9393.0,8730.0,9135.0,7202975,0.0,0.0
2024-01-01,9127.0,12985.0,9109.0,11095.0,15302968,0.0,0.0
2024-04-01,10955.0,11915.0,10855.0,11210.0,8005477,0.0,0.0
2024-07-01,11110.0,12965.0,10425.0,12915.0,10817620,0.0,0.0
2024-10-01,12645.0,13075.0,11885.0,13060.0,12341496,0.0,0.0
2025-01-01,13130.0,14905.0,12805.0,14240.0,25931435,0.0,0.0
2025-04-01,14160.0,14770.0,14000.0,14345.0,3725903,0.0,0.0
