Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2010-12-31,3600.0,3805.0,2860.0,3720.0,3367955,0.0,0.0
2011-12-31,3735.0,4770.0,3500.0,3880.0,15898371,0.0,0.0
2012-12-31,3880.0,4600.0,3880.0,4555.0,14196021,0.0,0.0
2013-12-31,4615.0,5000.0,3720.0,4040.0,19920747,0.0,0.0
2014-12-31,4090.0,4620.0,4020.0,4505.0,11408061,0.0,0.0
2015-12-31,4500.0,4865.0,4050.0,4070.0,12349023,0.0,0.0
2016-12-31,4045.0,4545.0,4000.0,4240.0,15110379,0.0,0.0
2017-12-31,4250.0,4560.0,4245.0,4555.0,9436831,0.0,0.0
2018-12-31,4555.0,4640.0,4005.0,4375.0,7717519,0.0,0.0
2019-12-31,4375.0,5110.0,4325.0,5070.0,10370263,0.0,0.0
2020-12-31,5070.0,6750.0,4900.0,6090.0,36612882,0.0,0.0
2021-12-31,6090.0,6540.0,5630.0,6345.0,31717270,0.0,0.0
2022-12-31,6345.0,7756.0,6321.0,7393.0,24435046,0.0,0.0
2023-12-31,7393.0,9393.0,7368.0,8933.0,24459946,0.0,0.0
2024-12-31,8933.0,12985.0,8893.0,12495.0,44718807,0.0,0.0
2025-12-31,12495.0,14905.0,12495.0,14025.0,33257891,0.0,0.0
