Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2023-01-01,1856.0,2016.0,1785.0,1815.0,85895400,0.0,0.0
2023-04-01,1836.0,2135.0,1800.0,2053.0,90260000,0.0,0.0
2023-07-01,2053.0,2747.0,1867.0,2580.0,82172000,0.0,0.0
2023-10-01,2565.0,2789.0,1986.0,2310.0,92483700,0.0,0.0
2024-01-01,2309.0,3490.0,2248.0,3205.0,76220800,0.0,0.0
2024-04-01,3145.0,3370.0,2670.0,3370.0,59216500,0.0,0.0
2024-07-01,3415.0,3600.0,2568.0,3134.0,73590600,0.0,0.0
2024-10-01,3120.0,4840.0,3009.0,4790.0,83646800,0.0,0.0
2025-01-01,4747.0,6926.0,4240.0,5954.0,105574300,0.0,0.0
2025-04-01,5950.0,6786.0,5026.0,6630.0,37356200,0.0,0.0
