Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2000-10-01,327.349985816262,355.26355049826884,279.9815124164928,297.74468994140625,46978400,0.0,0.0
2001-01-01,304.5115392348346,348.56796765327454,248.26160401072585,325.6693420410156,102705600,1.25,0.0
2001-04-01,338.39090872052964,378.2514919532737,312.099898488898,322.2770690917969,90227200,0.0,0.0
2001-07-01,317.1884155273437,346.0237260298296,203.54341832602896,285.2559814453125,135394400,1.25,0.0
2001-10-01,296.32555277914577,340.60408365419056,269.928736295946,283.5529479980469,131431200,0.0,0.0
2002-01-01,289.5134527951676,328.7497083346049,250.76974072993195,327.89581298828125,115225600,1.25,0.0
2002-04-01,324.480331555932,329.6037052120783,258.7303722750756,269.8309936523437,131253600,0.0,0.0
2002-07-01,265.56151094845814,270.6849092442355,179.05509111958168,199.1880798339844,124769600,1.25,0.0
2002-10-01,195.76119087003025,213.7523725254816,117.11404103865468,120.1125717163086,149528800,0.0,0.0
2003-01-01,120.11257900017904,132.27804705868505,74.08619377392681,82.29878234863281,233535200,1.25,0.0
2003-04-01,81.43429719617642,123.6210679622352,75.98805439006271,96.21695709228516,228902400,0.0,0.0
2003-07-01,96.9949654244088,146.68188455071248,90.770689568297,123.61322021484376,225064800,1.25,0.0
2003-10-01,123.61322886149088,127.00824007670084,96.88839698791504,112.2965316772461,139335200,0.0,0.0
2004-01-01,112.20949504701052,112.20949504701052,86.35517114447069,101.95893096923828,284874400,1.25,0.0
2004-04-01,101.95889546320988,109.4236298369726,88.96155133870079,92.47434997558594,158738400,0.0,0.0
2004-07-01,94.23074765514126,100.81724913691131,78.045913627864,79.11017608642578,181632000,1.25,0.0
2004-10-01,79.19885779642306,95.1628172149658,78.40066102131912,88.68855285644531,178374400,0.0,0.0
2005-01-01,90.46232475767128,102.884840152431,89.1319964524114,98.22860717773438,141184800,1.25,0.0
2005-04-01,98.31815778579264,104.76525009961512,89.54294880308984,100.19857025146484,186705600,0.0,0.0
2005-07-01,98.40771808277476,114.22129100131006,93.57239799499511,105.10164642333984,134096000,1.25,0.0
2005-10-01,105.1919744566292,130.92561271027293,95.71115272448668,117.29129028320312,234421600,0.0,0.0
2006-01-01,118.64571196224102,126.41095642856727,101.01499247146866,107.38530731201172,214939200,1.25,0.0
2006-04-01,105.56519713582873,125.9502235167923,100.28693727903728,124.22111511230467,232924800,0.0,0.0
2006-07-01,124.6762047329162,224.54237707178075,120.48999639881828,196.9911651611328,269972800,1.875,0.0
2006-10-01,197.90955276674887,222.24643787584804,177.88900404138866,209.3892059326172,198550400,0.0,0.0
2007-01-01,207.09326960355625,216.7361934653626,151.62349242803333,169.23414611816406,479937600,1.875,0.0
2007-04-01,171.36463572516678,267.23615466333973,162.75008917249625,222.77398681640625,375747200,0.0,0.0
2007-07-01,230.18440479447085,307.50419523657825,178.6823810255671,305.6405334472656,492856800,1.875,0.0
2007-10-01,304.6154720153808,315.8906240844726,204.0709382877793,240.41233825683597,315318400,0.0,0.0
2008-01-01,247.86706501020188,324.3537038656382,239.0146698312661,292.0587463378906,190650400,1.875,0.0
2008-04-01,294.492707257952,338.86319144112724,264.72509209446656,316.39703369140625,129289600,0.0,0.0
2008-07-01,316.6778080077398,330.4382684798468,161.33363935227194,203.50326538085935,224769600,2.5,0.0
2008-10-01,203.50320821945144,231.484899349626,147.5398259591023,154.04067993164062,270591200,0.0,0.0
2009-01-01,154.04060675255946,182.21072382840975,141.51008644791702,161.7417755126953,433756000,1.875,0.0
2009-04-01,158.7007561140163,187.6850444600329,149.38781438839462,182.07827758789065,476029600,0.0,0.0
2009-07-01,179.60746389920595,181.88819359951333,147.73408863156342,148.30892944335938,291308800,1.875,0.0
2009-10-01,147.0634738878272,157.9854654008286,124.2614499234605,143.13540649414062,359091200,0.0,0.0
2010-01-01,143.71019117903003,184.78566710170972,133.0756370317818,183.81668090820312,267945600,2.5,0.0
2010-04-01,183.8166782545007,183.8166782545007,124.999219095482,128.3906707763672,302771200,0.0,0.0
2010-07-01,128.4875717163086,136.91771744625362,116.27834544462316,123.94783782958984,239993600,1.875,0.0
2010-10-01,122.28215716308976,141.78067604564873,112.1899598972258,137.5674285888672,341429600,0.0,0.0
2011-01-01,136.7835831530274,168.6278663011467,117.67697119562882,149.2757110595703,321247200,3.125,0.0
2011-04-01,150.17195389910444,202.85160977425525,150.17195389910444,200.8599395751953,477330400,0.0,0.0
2011-07-01,191.897410070302,230.13747518031545,170.78573352257573,207.48504638671875,561469600,1.875,0.0
2011-10-01,207.4850624858014,224.35703271697983,152.7515853881836,169.72398376464844,378092000,0.0,0.0
2012-01-01,167.9162827172811,199.4343169765128,156.7687304555477,185.9961700439453,396684000,3.125,0.0
2012-04-01,186.09796098144852,188.84667265896448,148.43040091724603,161.804931640625,321057600,0.0,0.0
2012-07-01,161.05411843346445,170.226527829142,147.81959526137553,156.349365234375,290505600,1.875,0.0
2012-10-01,161.38624375866306,163.8532946186681,128.49222200619778,151.3124237060547,432800800,0.0,0.0
2013-01-01,151.92921674008616,179.10751333266404,143.91130137761883,167.61956787109375,477911200,3.125,0.0
2013-04-01,167.4106702371609,192.89301804618603,147.67231711509442,181.92730712890625,282699200,0.0,0.0
2013-07-01,177.74982399248034,211.29681069331943,169.29051979542342,192.9781036376953,232523200,1.875,0.0
2013-10-01,196.8734334309896,245.30214451467555,184.0292842980587,212.45481872558597,286413600,0.0,0.0
2014-01-01,210.5598096857336,218.35052264410567,177.51413737528108,189.78224182128903,364733600,3.125,0.0
2014-04-01,188.5021060409413,221.03924647693844,174.20709630156034,201.73031616210935,270344000,0.0,0.0
2014-07-01,197.35642278381667,214.9584821131841,165.80652513987255,184.74354553222656,333704000,1.875,0.0
2014-10-01,184.74354592990605,216.16177203495337,180.6548661639512,213.3642578125,239048000,0.0,0.0
2015-01-01,210.88952070829885,269.5353919029236,205.07929921939677,243.64781188964844,254206400,3.125,0.0
2015-04-01,240.38466754274643,315.4368645322006,239.51449680051024,294.98785400390625,290425600,0.0,0.0
2015-07-01,300.1001590554756,332.29647912811816,236.360081229674,280.1601257324219,365274400,1.875,0.0
2015-10-01,280.1601692180008,336.5204889618743,270.091855194414,290.2283630371094,313724000,0.0,0.0
2016-01-01,299.7495649688098,309.3845278311641,212.74667918925385,279.8930358886719,342154400,3.125,0.0
2016-04-01,271.71931911788823,301.9840223898507,226.6537081642296,232.3973693847656,353884800,0.0,0.0
2016-07-01,232.3973702256945,305.6025511121662,212.84683100043404,303.035400390625,434029600,3.125,0.0
2016-10-01,301.69603848361896,321.1170316460141,261.62611128893184,266.983642578125,310873600,0.0,0.0
2017-01-01,262.4074700219887,276.51887027277127,237.8062284345833,271.3270874023437,407769600,3.125,0.0
2017-04-01,273.1329826515446,323.244948681879,273.1329826515446,308.9111328125,376401600,0.0,0.0
2017-07-01,310.2655153333901,340.2875695635399,296.83458307559994,327.0577392578125,307247200,3.125,0.0
2017-10-01,325.5768242263794,502.37707872080887,321.9314574050903,473.32806396484375,269917600,0.0,0.0
2018-01-01,455.6707876699942,588.9545714455928,424.3434210176821,482.5257568359375,317806400,4.375,2.0
2018-04-01,479.7724082741061,691.780897771892,470.3651061510844,664.0178833007812,345670800,0.0,0.0
2018-07-01,653.9221542399623,698.6641963721702,501.71654802133605,540.7005004882812,304243200,3.75,0.0
2018-10-01,545.3139089177472,571.8414467881114,438.97299438813775,537.4708862304688,194670800,0.0,0.0
2019-01-01,530.7814923639635,593.654834130567,500.1018146219352,582.4932861328125,143857200,5.0,0.0
2019-04-01,582.4933594897483,582.4933594897483,472.50559141044647,532.9639282226562,171281200,0.0,0.0
2019-07-01,527.8482175881483,692.6965808994723,523.6626370081541,601.1332397460938,287601200,5.0,0.0
2019-10-01,599.4940164636467,740.0005559637996,578.8864096477089,728.2916259765625,172066400,0.0,0.0
2020-01-01,716.5826349537579,851.6609516520059,562.0255893943583,777.3470458984375,197298000,6.25,0.0
2020-04-01,778.5266289729796,1005.0069331799524,771.4491141641344,974.3377075195312,153941600,0.0,0.0
2020-07-01,1002.6478748841045,1502.0362330163043,975.5174029754756,1362.2568359375,171878800,6.25,0.0
2020-10-01,1362.2568143468325,1731.8432863550954,1105.2048763352998,1561.2650146484375,228944800,0.0,0.0
2021-01-01,1542.3117732295284,1806.594396456866,1497.298055295984,1687.739501953125,136978200,6.25,2.0
2021-04-01,1687.7396392822266,1721.019012451172,1404.8651248976314,1428.6361083984375,135370400,0.0,0.0
2021-07-01,1464.2925265930376,1663.9687358469205,1326.603037516276,1462.8487548828125,124173400,9.0,0.0
2021-10-01,1489.1417365345528,1606.265243902439,1157.3715560730047,1315.1297607421875,179050800,0.0,0.0
2022-01-01,1337.598295678491,1693.5206901183817,1239.5969957212874,1657.3343505859375,120138200,14.0,0.0
2022-04-01,1659.7466033768785,1874.4522749738,1454.6908329455732,1780.3677978515625,124001200,0.0,0.0
2022-07-01,1753.8310851249794,2087.4349331366857,1699.074945576372,2012.190185546875,116094000,11.5,0.0
2022-10-01,2026.7537841796875,2189.3795369222494,1929.664341517857,2038.890625,91628600,0.0,0.0
2023-01-01,2038.890068917736,2598.9398276969177,2009.763067933197,2496.35009765625,98556400,15.0,0.0
2023-04-01,2515.8909696691176,3213.500948791504,2457.268267463235,3126.5439453125,149304400,0.0,0.0
2023-07-01,3121.658961181044,3135.337591996861,2260.846571617812,2375.72998046875,146521600,13.5,0.0
2023-10-01,2396.8410610724904,2808.752012635629,2185.730740541319,2771.439453125,147643800,0.0,0.0
2024-01-01,2724.798973742795,3154.875110554245,2429.691100736622,2592.890380859375,127495400,21.5,2.0
2024-04-01,2570.6357956458783,3303.548866858116,2522.6651007290543,3167.054931640625,104642200,0.0,0.0
2024-07-01,3102.764225327101,3432.130217185387,2322.869551539909,3044.602294921875,102023700,18.0,0.0
2024-10-01,2995.8807199655503,3628.2670916542634,2992.897765382113,3536.789794921875,91573400,0.0,0.0
2025-01-01,3479.119402114716,4139.0,3258.380741369256,4139.0,137742800,22.0,0.0
2025-04-01,4103.0,4216.0,3772.0,3960.0,20939900,0.0,0.0
