Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2001-12-31,327.6900352998213,378.6444790448029,203.7548679258765,295.7811279296875,466770400,2.5,0.0
2002-12-31,295.781000544001,329.94611820007145,147.5952161245661,153.25546264648438,503514400,2.5,0.0
2003-12-31,153.2554045009205,157.28618458572365,74.16317783483937,115.02745056152344,842159200,2.5,0.0
2004-12-31,115.0274140114008,118.86166114511416,78.12698432682876,86.47237396240234,792091200,2.5,0.0
2005-12-31,86.47238017272949,128.16922831623447,84.7855472946167,125.18644714355467,679332000,2.5,0.0
2006-12-31,125.18643330022682,224.7756330583479,100.39117014438293,197.19580078125,908242400,3.125,0.0
2007-12-31,197.19579576191148,316.21888549804686,151.78101850288698,266.3141174316406,1610128000,3.75,0.0
2008-12-31,266.31397708626685,339.21509730747766,147.6931354062107,188.24745178222656,838788800,4.375,0.0
2009-12-31,188.2474400324924,193.34030664659787,124.39052988468916,146.83258056640625,1582051200,3.75,0.0
2010-12-31,146.83260747866137,184.97763750863567,112.30651284907138,128.09808349609375,1151706400,4.375,0.0
2011-12-31,128.09809623348747,230.37660529038592,117.79925849002862,182.76852416992188,1668600800,5.0,0.0
2012-12-31,182.76852023333487,199.6415319583686,128.62573641049465,135.41717529296875,1439993600,5.0,0.0
2013-12-31,135.41717380026114,211.5163105466752,135.41717380026114,198.8695831298828,1298800000,5.0,0.0
2014-12-31,198.86960044535704,245.5570583135569,165.9787907275476,195.59860229492188,1258701600,5.0,0.0
2015-12-31,195.59861951588505,336.8700784019207,183.21214305975795,320.656494140625,1215417600,5.0,0.0
2016-12-31,320.65650017049336,326.353165018073,212.9676389110332,307.2608337402344,1408075200,6.25,0.0
2017-12-31,307.2608195021001,416.80184078616696,238.0533200992324,407.678955078125,1373781600,6.25,0.0
2018-12-31,407.67893638564937,699.389887301446,407.67893638564937,501.54498291015625,1226005200,8.125,2.0
2019-12-31,501.5450205790638,740.7693032242678,471.52621179670734,710.2946166992188,781535200,10.0,0.0
2020-12-31,710.2945658692977,1669.6091417910447,562.6094959900443,1588.974609375,746460400,12.5,0.0
2021-12-31,1588.9746056702866,1808.4716865647008,1263.3769300452363,1295.91845703125,558893200,15.25,2.0
2022-12-31,1295.9182447504884,2191.654474936845,1158.5738812928112,2045.8680419921875,493672400,25.5,0.0
2023-12-31,2045.8677219935823,3216.839833831787,1931.668454851423,2239.11376953125,513217800,28.5,0.0
2024-12-31,2239.113867533492,3632.036642053912,2216.506484323101,3457.850341796875,453901200,39.5,2.0
2025-12-31,3457.850202670351,4216.0,3211.003095513688,3813.0,182596300,18.0,0.0
