Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2000-12-31,6058.85107421875,7717.233413578004,3143.250325520833,5686.2958984375,109855300,78.0,0.0
2001-12-31,5686.294663414252,5971.60466402897,1786.7929807218695,2618.191650390625,135291906,55.0,0.0
2002-12-31,2618.191056148048,2651.843897486712,1467.2316281091903,1872.6881103515625,130442000,46.0,0.0
2003-12-31,1872.6878478035092,2987.1547596490204,1044.769793140645,2192.923583984375,164347600,62.0,0.0
2004-12-31,2192.9232150514576,2284.295015678602,1551.9616000205592,1702.498291015625,154875100,54.0,0.0
2005-12-31,1702.4982311720446,1985.1937093569368,1533.333477248794,1900.951171875,160092100,54.0,0.0
2006-12-31,1900.9516573975989,2708.668896484375,1722.1228612314355,2686.283203125,239864200,54.0,0.0
2007-12-31,2686.283811173349,2831.9402775998974,1941.7607421875,2778.7939453125,232090388,54.0,0.0
2008-12-31,2778.7939590454102,3310.759218933762,1115.6967072439666,1760.406494140625,345492900,54.0,0.0
2009-12-31,1760.4071374931732,1810.5941830796007,995.2474556020858,1319.71044921875,262538600,54.0,0.0
2010-12-31,1319.7105139307228,1598.256060213207,1042.5873857306306,1411.0489501953125,240238600,43.0,0.0
2011-12-31,1411.0489926707228,2401.889743893781,1057.060563758751,1925.1583251953125,383072500,41.0,0.0
2012-12-31,1925.1583440220768,2045.548987707048,1295.8802482060023,1653.739990234375,346355000,50.0,0.0
2013-12-31,1653.7396984011627,2587.395331826981,1458.5778706395347,2121.66064453125,390426500,42.0,0.0
2014-12-31,2121.660330182842,2330.4197376179245,1755.9397963853885,1960.8582763671875,274189700,25.5,0.0
2015-12-31,1960.859034595688,2809.1206389450963,1678.21268726658,2575.47314453125,278575800,23.0,0.0
2016-12-31,2575.4734838214026,4353.069931806144,2210.733252790993,4245.142578125,300342100,29.5,0.0
2017-12-31,4245.140555862832,6010.639892578125,3912.364707204093,5654.9267578125,216192100,71.0,0.0
2018-12-31,5654.927728114984,5910.311560997597,3806.7766351190903,4450.50146484375,173384400,73.5,0.0
2019-12-31,4450.501249454216,4913.79646144523,3982.7583905739934,4205.796875,120155300,63.0,0.0
2020-12-31,4205.797449075951,5780.308674568965,2307.796486142534,5478.0703125,178718900,29.5,0.0
2021-12-31,5478.070175170898,7140.381151056919,5219.718226336051,5257.818359375,127380100,59.0,0.0
2022-12-31,5257.818203252446,8706.266311584553,4972.067213945249,5801.2060546875,149928600,149.0,0.0
2023-12-31,5801.206424922733,8450.12260706899,5422.233140882555,7302.7939453125,138085400,124.0,0.0
2024-12-31,7302.794517381657,15695.0,7224.65273668639,14800.0,113562400,135.0,0.0
2025-12-31,14800.0,21070.0,13530.0,19605.0,47223200,0.0,0.0
