Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1984-10-01,11543.0,11992.3095703125,11543.0,11992.3095703125,0,0.0,0.0
1985-01-01,11946.9599609375,12683.259765625,11823.4296875,12426.2900390625,0,0.0,0.0
1985-04-01,12456.650390625,13029.650390625,12232.26953125,12232.26953125,0,0.0,0.0
1985-07-01,12538.33984375,13055.51953125,12326.7099609375,12936.4697265625,0,0.0,0.0
1985-10-01,12808.099609375,13128.9404296875,12589.509765625,13024.2998046875,0,0.0,0.0
1986-01-01,13086.4697265625,15859.75,13086.4697265625,15825.5,0,0.0,0.0
1986-04-01,15782.650390625,18050.58984375,15689.98046875,17509.7109375,0,0.0,0.0
1986-07-01,17321.9296875,18936.240234375,15819.5498046875,16910.630859375,0,0.0,0.0
1986-10-01,16902.0,20048.349609375,16713.7109375,20024.0,0,0.0,0.0
1987-01-01,20072.08984375,24097.7890625,19457.0,23274.830078125,0,0.0,0.0
1987-04-01,23680.890625,25929.419921875,22702.740234375,24488.109375,0,0.0,0.0
1987-07-01,24492.0,26646.4296875,21910.080078125,23329.0,0,0.0,0.0
1987-10-01,23358.599609375,23728.0,21036.759765625,23719.0,0,0.0,0.0
1988-01-01,23732.3203125,27510.0,23595.369140625,27510.0,0,0.0,0.0
1988-04-01,27520.7109375,28394.720703125,26928.8203125,28200.0,0,0.0,0.0
1988-07-01,28234.4609375,28475.6796875,26701.439453125,27982.5390625,0,0.0,0.0
1988-10-01,27976.4296875,31743.220703125,27767.4296875,31581.30078125,0,0.0,0.0
1989-01-01,31576.9296875,33737.671875,31303.720703125,33713.3515625,0,0.0,0.0
1989-04-01,33721.578125,34954.75,32605.599609375,34953.87109375,0,0.0,0.0
1989-07-01,34949.671875,35778.03125,33955.140625,35549.44140625,0,0.0,0.0
1989-10-01,35545.03125,38957.44140625,35098.78125,37188.94921875,0,0.0,0.0
1990-01-01,37242.03125,37886.69140625,27251.0390625,29584.80078125,0,0.0,0.0
1990-04-01,29593.580078125,33344.921875,29519.25,31035.66015625,0,0.0,0.0
1990-07-01,31086.140625,31371.529296875,19781.69921875,25194.099609375,0,0.0,0.0
1990-10-01,25159.94921875,25159.94921875,21626.640625,23293.140625,0,0.0,0.0
1991-01-01,23270.630859375,27270.330078125,22859.650390625,26111.25,0,0.0,0.0
1991-04-01,26193.609375,26648.580078125,21731.150390625,24120.75,0,0.0,0.0
1991-07-01,24074.310546875,25254.80078125,21309.48046875,25222.279296875,0,0.0,0.0
1991-10-01,25167.130859375,25167.130859375,20638.0390625,22023.05078125,0,0.0,0.0
1992-01-01,22075.859375,22373.080078125,16572.4609375,17390.7109375,0,0.0,0.0
1992-04-01,17374.94921875,19003.609375,15024.58984375,15910.2802734375,0,0.0,0.0
1992-07-01,15902.75,19284.119140625,14194.400390625,16767.400390625,0,0.0,0.0
1992-10-01,16732.5,17787.560546875,15941.9296875,17023.779296875,0,0.0,0.0
1993-01-01,17037.51953125,20919.1796875,16721.48046875,20919.1796875,0,0.0,0.0
1993-04-01,20939.4609375,21224.779296875,19039.55078125,20380.140625,0,0.0,0.0
1993-07-01,20392.740234375,21281.029296875,19443.5390625,19702.970703125,0,0.0,0.0
1993-10-01,19656.970703125,20229.119140625,15671.9697265625,20229.119140625,0,0.0,0.0
1994-01-01,20256.330078125,20781.98046875,18768.98046875,19725.25,0,0.0,0.0
1994-04-01,19648.529296875,21573.2109375,19488.900390625,20449.390625,0,0.0,0.0
1994-07-01,20422.1796875,20875.779296875,19414.080078125,19989.599609375,0,0.0,0.0
1994-10-01,19929.490234375,19929.490234375,17698.75,18649.8203125,0,0.0,0.0
1995-01-01,18646.919921875,18868.9296875,15256.0595703125,16806.75,0,0.0,0.0
1995-04-01,16820.380859375,17189.5390625,14295.900390625,16677.529296875,0,0.0,0.0
